question,answer,url
"Какие схемы декларирования предусмотрены по ТР ТС 005/2011?","Для упаковки применяются следующие схемы декларирования: 3д, 4д, 6д — для упаковки пищевой продукции, детских товаров, парфюмерии и косметики; 1д и 2д — для других видов упаковки.","https://mastcert.com/ru/tr-cu-certification/tr-cu-005-2011/"
"Какие документы нужны для получения декларации соответствия?","Для получения декларации соответствия по ТР ТС 005/2011 требуется: заявка, протокол испытаний продукции, техническое описание, перечень стандартов производства, сертификат ISO 9001 (для схемы 6д), договор на поставку (для схем 2д, 4д).","https://mastcert.com/ru/tr-cu-certification/tr-cu-005-2011/"
"Что такое ТР ТС 007/2011?","ТР ТС 007/2011 — это технический регламент Таможенного союза 'О безопасности продукции, предназначенной для детей и подростков', который устанавливает единые требования к продукции, выпускаемой в обращение на территории ЕАЭС.","https://mastcert.com/ru/tr-cu-certification/tr-cu-007-2011/"
"На какие товары распространяется ТР ТС 007/2011?","ТР ТС 007/2011 распространяется на продукцию для детей и подростков, включая изделия для ухода за детьми (соски, посуда, столовые приборы), одежду, обувь, велосипеды, детские коляски, школьно-письменные принадлежности и книжные изделия.","https://mastcert.com/ru/tr-cu-certification/tr-cu-007-2011/"
"Какие товары не подпадают под действие ТР ТС 007/2011?","ТР ТС 007/2011 не распространяется на товары медицинского назначения, продукты детского питания, парфюмерно-косметические товары, спортивное оборудование, учебники, игрушки, мебель и товары, изготовленные по индивидуальному заказу.","https://mastcert.com/ru/tr-cu-certification/tr-cu-007-2011/"
"Какие требования предъявляются к маркировке продукции по ТР ТС 007/2011?","Маркировка продукции должна включать информацию о производителе, страну происхождения, наименование изделия, вид продукции, дату изготовления, знак EAC, срок годности (если установлен), срок службы (если есть) и товарный знак (при наличии).","https://mastcert.com/ru/tr-cu-certification/tr-cu-007-2011/"
"Какой язык используется для маркировки детской продукции?","Маркировка продукции по ТР ТС 007/2011 должна быть на русском языке. Если законодательство страны ЕАЭС предусматривает дополнительные требования, они также должны учитываться.","https://mastcert.com/ru/tr-cu-certification/tr-cu-007-2011/"
"Какой документ требуется для подтверждения соответствия продукции по ТР ТС 007/2011?","Продукция, подпадающая под действие ТР ТС 007/2011, подлежит обязательному декларированию соответствия.","https://mastcert.com/ru/tr-cu-certification/tr-cu-007-2011/"
"Какие документы нужны для получения декларации соответствия по ТР ТС 007/2011?","Для получения декларации соответствия требуются: заявка, техническая документация (инструкции, паспорта), копии этикеток (упаковки) или макеты, акт отбора образцов, протоколы испытаний, выписка из ЕГРЮЛ/ЕГРИП (для продукции, производимой в ТС), копии документов о ввозе образцов на территорию ТС.","https://mastcert.com/ru/tr-cu-certification/tr-cu-007-2011/"
"Что такое ТР ТС 008/2011?","ТР ТС 008/2011 — это технический регламент Таможенного союза 'О безопасности игрушек', устанавливающий обязательные требования к качеству и безопасности игрушек, предназначенных для детей.","https://mastcert.com/ru/tr-cu-certification/tr-cu-008-2011/"
"Какая цель ТР ТС 008/2011?","ТР ТС 008/2011 разработан с целью защиты жизни и здоровья детей, а также лиц, осуществляющих за ними уход, путём установления требований к качеству и безопасности игрушек.","https://mastcert.com/ru/tr-cu-certification/tr-cu-008-2011/"
"Какие игрушки подлежат обязательной сертификации по ТР ТС 008/2011?","ТР ТС 008/2011 распространяется на широкий перечень игрушек, включая пластилин, куклы, детские велосипеды, конструкторы, головоломки, мячи, электронные игры, игрушечные музыкальные инструменты, карнавальные товары и детские бассейны.","https://mastcert.com/ru/tr-cu-certification/tr-cu-008-2011/"
"Какие игрушки не подлежат сертификации по ТР ТС 008/2011?","Не подлежат сертификации: ёлочные украшения, коллекционные модели для детей старше 14 лет, оборудование для игровых площадок, спортивный инвентарь, игровые автоматы, головоломки с более чем 500 деталями, пневматическое оружие, катапульты, транспортные средства с двигателями внутреннего сгорания и игрушечные паровые машины.","https://mastcert.com/ru/tr-cu-certification/tr-cu-008-2011/"
"Какие схемы сертификации применяются для игрушек?","Для сертификации игрушек используются схемы 1С, 2С и 3С, в зависимости от типа продукции и её происхождения.","https://mastcert.com/ru/tr-cu-certification/tr-cu-008-2011/"
"Какие документы нужны для сертификации игрушек?","Для сертификации игрушек требуются: технические условия, цветное изображение игрушки, техническое описание, сведения о материалах, сертификат ISO 9001 (для схемы 2С), контракт или инвойс (для схемы 3С), а также доверенность для исполнения функций изготовителя (для импортных товаров).","https://mastcert.com/ru/tr-cu-certification/tr-cu-008-2011/"
"Какие требования к маркировке игрушек?","Маркировка игрушек должна включать: наименование, страну-изготовителя, товарный знак, возрастные ограничения, основные материалы, дату изготовления, срок службы, условия хранения и знак ЕАС.","https://mastcert.com/ru/tr-cu-certification/tr-cu-008-2011/"
"Где можно найти полный список игрушек, подпадающих под сертификацию?","Полный список игрушек, подлежащих сертификации по ТР ТС 008/2011, можно найти в Приложении к данному регламенту.","https://mastcert.com/ru/tr-cu-certification/tr-cu-008-2011/"
"Что такое ТР ТС 009/2011?","ТР ТС 009/2011 — это технический регламент Таможенного союза 'О безопасности парфюмерно-косметической продукции', который устанавливает требования к качеству и безопасности косметики и парфюмерии, выпускаемых на рынок ЕАЭС.","https://mastcert.com/ru/tr-cu-certification/tr-cu-009-2011/"
"На какую продукцию распространяется ТР ТС 009/2011?","ТР ТС 009/2011 распространяется на парфюмерно-косметическую продукцию, предназначенную для наружного применения, включая кремы, шампуни, духи, декоративную косметику и средства по уходу за кожей и волосами.","https://mastcert.com/ru/tr-cu-certification/tr-cu-009-2011/"
"Какие товары не подпадают под действие ТР ТС 009/2011?","ТР ТС 009/2011 не распространяется на продукцию, предназначенную для ингаляций, инъекций, имплантации в тело человека, а также на товары, применяемые для диагностики и лечения болезней.","https://mastcert.com/ru/tr-cu-certification/tr-cu-009-2011/"
"Как идентифицируется парфюмерно-косметическая продукция?","Идентификация косметической продукции осуществляется на основе технической документации, договора поставки, спецификации, этикетки и других характеристик продукции.","https://mastcert.com/ru/tr-cu-certification/tr-cu-009-2011/"
"Какие требования предъявляются к безопасности парфюмерно-косметической продукции?","ТР ТС 009/2011 устанавливает требования к составу продукции, физико-химическим, микробиологическим и токсическим показателям, процессу производства и маркировке.","https://mastcert.com/ru/tr-cu-certification/tr-cu-009-2011/"
"Какая информация должна быть указана на этикетке косметической продукции?","Маркировка парфюмерно-косметической продукции должна включать название, информацию о производителе, номинальный объём, цвет/тон (если применимо), срок годности, условия хранения, номер партии, меры предосторожности и состав.","https://mastcert.com/ru/tr-cu-certification/tr-cu-009-2011/"
"Какие схемы декларирования предусмотрены для парфюмерно-косметической продукции?","В соответствии с ТР ТС 009/2011 используются три схемы декларирования: 3д – для серийного выпуска, 4д – для партии, 6д – для серийного выпуска при наличии сертификата ISO 9001.","https://mastcert.com/ru/tr-cu-certification/tr-cu-009-2011/"
"Как получить декларацию соответствия для парфюмерно-косметической продукции?","Для получения декларации соответствия необходимо подать заявку, предоставить техническую документацию, протоколы испытаний и документы, подтверждающие соответствие требованиям ТР ТС 009/2011.","https://mastcert.com/ru/tr-cu-certification/tr-cu-009-2011/"
"Что такое ТР ТС 010/2011?","ТР ТС 010/2011 — это технический регламент Таможенного союза 'О безопасности машин и оборудования', который устанавливает единые требования к безопасности машин и оборудования на территории ЕАЭС.","https://mastcert.com/ru/tr-cu-certification/tr-cu-010-2011/"
"Какая цель ТР ТС 010/2011?","Цель ТР ТС 010/2011 — обеспечение безопасности машин и оборудования при их проектировании, производстве, эксплуатации, хранении, транспортировке, продаже и утилизации, а также свободное перемещение такой продукции на территории Таможенного союза.","https://mastcert.com/ru/tr-cu-certification/tr-cu-010-2011/"
"На какие виды оборудования распространяется ТР ТС 010/2011?","ТР ТС 010/2011 распространяется на широкий перечень оборудования, включая бытовое деревообрабатывающее оборудование, сельскохозяйственные машины, грузоподъёмные механизмы, горнодобывающее оборудование, строительную технику, промышленные станки и другое.","https://mastcert.com/ru/tr-cu-certification/tr-cu-010-2011/"
"Какая разница между ТР ТС 004/2011, ТР ТС 010/2011 и ТР ТС 020/2011?","ТР ТС 004/2011 регулирует безопасность низковольтного оборудования, ТР ТС 010/2011 охватывает безопасность машин и оборудования, а ТР ТС 020/2011 относится к электромагнитной совместимости технических средств.","https://mastcert.com/ru/tr-cu-certification/tr-cu-010-2011/"
"Какие формы подтверждения соответствия предусмотрены в ТР ТС 010/2011?","ТР ТС 010/2011 предусматривает две формы подтверждения соответствия: сертификацию (на серийное производство сроком от 1 до 5 лет или на разовую поставку без ограничения по времени) и декларирование (также сроком от 1 до 5 лет).","https://mastcert.com/ru/tr-cu-certification/tr-cu-010-2011/"
"Какое оборудование подлежит декларированию по ТР ТС 010/2011?","Декларированию подлежат турбины, газотурбинные установки, насосное оборудование, химическое нефтегазоперерабатывающее оборудование, компрессоры, целлюлозно-бумажное оборудование, промышленное прачечное оборудование, строительная техника, металлообрабатывающие станки и другое.","https://mastcert.com/ru/tr-cu-certification/tr-cu-010-2011/"
"Какое оборудование подлежит обязательной сертификации по ТР ТС 010/2011?","Сертификации подлежат бытовое деревообрабатывающее оборудование, сельскохозяйственная техника, строительная техника, грузоподъёмные краны, промышленные кондиционеры, инженерное оборудование для лесозаготовок, вентиляционное оборудование и другие виды машин.","https://mastcert.com/ru/tr-cu-certification/tr-cu-010-2011/"
"Можно ли получить сертификат вместо декларации?","Да, согласно пункту 5 статьи 8 ТР ТС 010/2011, по решению заявителя сертификация может проводиться вместо декларирования соответствия.","https://mastcert.com/ru/tr-cu-certification/tr-cu-010-2011/"
"Нужно ли сертифицировать монтажный домкрат, используемый в сервисных мастерских?","Да, монтажный домкрат подлежит сертификации. Для строительного домкрата необходимо оформить декларацию соответствия.","https://mastcert.com/ru/tr-cu-certification/tr-cu-010-2011/"
"Подлежит ли сертификации буровое оборудование?","Да, буровое оборудование подлежит сертификации. Также для бурильных труб, обсадных труб, буровых вышек и другого бурового оборудования требуется декларация соответствия.","https://mastcert.com/ru/tr-cu-certification/tr-cu-010-2011/"
"Что такое ТР ТС 011/2011?","ТР ТС 011/2011 — это технический регламент Таможенного союза 'О безопасности лифтов', который устанавливает требования к безопасности лифтов и устройств безопасности лифтов на территории ЕАЭС.","https://mastcert.com/ru/tr-cu-certification/tr-cu-011-2011/"
"На какие устройства распространяется ТР ТС 011/2011?","ТР ТС 011/2011 распространяется на все лифты и устройства безопасности лифтов, включая буферы, ловители, ограничители скорости, замки дверей шахты и гидроаппараты безопасности.","https://mastcert.com/ru/tr-cu-certification/tr-cu-011-2011/"
"На какие лифты не распространяется ТР ТС 011/2011?","ТР ТС 011/2011 не распространяется на лифты, используемые в шахтах горной и угольной промышленности, на судах и плавучих средствах, платформах для разведки и бурения, летательных аппаратах, а также на лифты с зубчато-реечным или винтовым механизмом подъёма и лифты специального назначения для военных целей.","https://mastcert.com/ru/tr-cu-certification/tr-cu-011-2011/"
"Какие схемы сертификации применяются по ТР ТС 011/2011?","ТР ТС 011/2011 предусматривает обязательную сертификацию по схемам: 1С — для серийного выпуска, 3С и 4С — для партии.","https://mastcert.com/ru/tr-cu-certification/tr-cu-011-2011/"
"Какие документы необходимы для оформления сертификации по ТР ТС 011/2011?","Для оформления сертификата соответствия по ТР ТС 011/2011 необходимо предоставить: заявку, техническое описание, руководство по эксплуатации, электрическую и гидравлическую схемы, протоколы испытаний.","https://mastcert.com/ru/tr-cu-certification/tr-cu-011-2011/"
"Какая информация должна быть указана в сертификате соответствия по ТР ТС 011/2011?","Сертификат соответствия должен содержать сведения о производителе, типе (модели) лифта, а также данные об узлах и устройствах безопасности лифтов.","https://mastcert.com/ru/tr-cu-certification/tr-cu-011-2011/"
"Что такое ТР ТС 012/2011?","ТР ТС 012/2011 — это технический регламент Таможенного союза, устанавливающий правила сертификации электрооборудования, предназначенного для работы во взрывоопасных средах.","https://mastcert.com/ru/tr-cu-certification/tr-cu-012-2011/"
"Что такое сертификат соответствия для взрывозащищенного оборудования?","Сертификат соответствия для взрывозащищенного оборудования (или сертификат взрывозащиты) — это документ, подтверждающий, что оборудование соответствует специальному стандарту для типа взрывозащиты.","https://mastcert.com/ru/tr-cu-certification/tr-cu-012-2011/"
"Какое оборудование подлежит сертификации по ТР ТС 012/2011?","Сертификации подлежат все виды взрывозащищённого электрооборудования, включая взрывозащищённые части другого оборудования и комплектов, указанных в номенклатуре обязательной сертификации РФ.","https://mastcert.com/ru/tr-cu-certification/tr-cu-012-2011/"
"Какие схемы сертификации применяются для взрывозащищённого оборудования?","Сертификат соответствия для взрывозащищённого оборудования можно получить по нескольким схемам сертификации, установленным Постановлением Комитета по стандартизации РФ.","https://mastcert.com/ru/tr-cu-certification/tr-cu-012-2011/"
"Как сертифицировать взрывозащищённое оборудование?","Сертификация взрывозащищённого оборудования включает проверку соответствия международным и национальным стандартам, проведение испытаний в лаборатории и регистрацию сертификата соответствия.","https://mastcert.com/ru/tr-cu-certification/tr-cu-012-2011/"
"Можно ли использовать международные сертификаты (ATEX, FM) вместо российского сертификата?","Нет, наличие международного сертификата не освобождает от необходимости получения российского сертификата соответствия на взрывозащищённое оборудование.","https://mastcert.com/ru/tr-cu-certification/tr-cu-012-2011/"
"Какие стандарты используются при сертификации взрывозащищённого оборудования?","Сертификация взрывозащищённого оборудования основана на международных стандартах, включая ГОСТ в России, ATEX в Европе и FM в США.","https://mastcert.com/ru/tr-cu-certification/tr-cu-012-2011/"
"Что такое ТР ТС 016/2011?","ТР ТС 016/2011 — это технический регламент Таможенного союза 'О безопасности аппаратов, работающих на газообразном топливе', который устанавливает нормы безопасности для газоиспользующего оборудования на территории ЕАЭС.","https://mastcert.com/ru/tr-cu-certification/tr-cu-016-2011/"
"На какое оборудование распространяется ТР ТС 016/2011?","ТР ТС 016/2011 распространяется на газоиспользующее оборудование, такое как аппараты для приготовления пищи, отопления, горячего водоснабжения, блочные автоматические горелки и устройства, встраиваемые в оборудование.","https://mastcert.com/ru/tr-cu-certification/tr-cu-016-2011/"
"Какие устройства не подпадают под действие ТР ТС 016/2011?","ТР ТС 016/2011 не распространяется на паровые котлы с давлением выше 0,07 МПа, котлы для нагрева воды свыше 115°C, оборудование для промышленных предприятий, не указанное в перечне Приложения 1, и устройства, использующие газ как моторное топливо.","https://mastcert.com/ru/tr-cu-certification/tr-cu-016-2011/"
"Какие требования предъявляются к газоиспользующему оборудованию?","Основные требования к газоиспользующему оборудованию включают соответствие номинальному давлению газа, номинальной тепловой мощности, частоте и напряжению электрического тока (если подключается к сети), а также соблюдение требований безопасности, установленных в статье 4 ТР ТС 016/2011.","https://mastcert.com/ru/tr-cu-certification/tr-cu-016-2011/"
"Какие формы подтверждения соответствия предусмотрены в ТР ТС 016/2011?","Подтверждение соответствия газоиспользующего оборудования требованиям ТР ТС 016/2011 является обязательным и производится в форме декларирования или сертификации.","https://mastcert.com/ru/tr-cu-certification/tr-cu-016-2011/"
"Какие схемы декларирования применяются по ТР ТС 016/2011?","ТР ТС 016/2011 предусматривает схемы декларирования: 1Д — серийный выпуск на основании испытаний образцов, 2Д — партия на основании испытаний производителя, 3Д — серийный выпуск с производственным контролем, 4Д — партия на основании испытаний аккредитованной лаборатории.","https://mastcert.com/ru/tr-cu-certification/tr-cu-016-2011/"
"Можно ли заменить декларирование сертификацией?","Да, заявитель может заменить декларирование сертификацией. Возможны схемы сертификации: 1С — серийный выпуск с испытаниями и производственным контролем, 3С — партия на основании испытаний, 4С — единичные образцы на основании испытаний.","https://mastcert.com/ru/tr-cu-certification/tr-cu-016-2011/"
